cmd,duration_s,filter_depth,filter_keep_top,filter_min_ic,filter_min_terms,hybrid_alpha,hybrid_beta,idf_gamma,k,log_path,matched_mrr10,matched_mrr100,matched_mrr5,matched_mrr50,matched_top10,matched_top100,matched_top5,matched_top50,overall_mrr10,overall_mrr100,overall_mrr5,overall_mrr50,overall_top10,overall_top100,overall_top5,overall_top50,patient_decay,patient_depth,returncode,roc_negatives,roc_use,timestamp,workdir
python src/evaluate_hybrid.py --phenopackets_dir phenopackets --k 5 --hpoa phenotype.hpoa --obo hp.obo --mondo mondo.obo --ic checkpoints/hpo_ic.pt --idf checkpoints/hpo_idf.pt --idf_gamma 1.0 --filter_by_overlap --filter_depth 2 --filter_min_terms 2 --filter_min_ic 2.6 --filter_keep_top 500 --patient_depth 2 --patient_decay 0.7 --hybrid_alpha 0.9 --hybrid_beta 0.1 --roc_use hybrid --roc_negatives 300 --report_top 5 10 50 100,197.222,2,500,2.6,2,0.9,0.1,1.0,5,logs/run_20250829-015429.log,0.0622,0.0622,0.0622,0.0622,0.1233,0.4437,0.0771,0.3123,0.0619,0.0619,0.0619,0.0619,0.1227,0.4416,0.0767,0.3108,0.7,2,0,300,hybrid,20250829-015429,/Users/caizhuoang/Desktop/CSIC/hpo-gnn-diagnosis
python src/evaluate_hybrid.py --phenopackets_dir phenopackets --k 5 --hpoa phenotype.hpoa --obo hp.obo --mondo mondo.obo --ic checkpoints/hpo_ic.pt --idf checkpoints/hpo_idf.pt --idf_gamma 1.0 --filter_by_overlap --filter_depth 2 --filter_min_terms 2 --filter_min_ic 2.6 --filter_keep_top 500 --roc_use cosine --roc_negatives 300 --report_top 5 10 50 100 --patient_depth 1 --patient_decay 0.70 --hybrid_alpha 1.00 --hybrid_beta 0.00,222.490,2,500,2.6,2,1.00,0.00,1.0,5,logs/run_20250829-020408.log,0.0562,0.0562,0.0562,0.0562,0.1233,0.4337,0.0756,0.3071,0.0559,0.0559,0.0559,0.0559,0.1227,0.4317,0.0753,0.3057,0.70,1,0,300,cosine,20250829-020408,/Users/caizhuoang/Desktop/CSIC/hpo-gnn-diagnosis
